"node","stress_observations","normal_observations","retained_stress_weight","weighted_stress_value","weighted_normal_value","weighted_difference","measure","scenario","threshold_pct"
"PNM",88,8671,1,0.207641307336114,0.197539073725561,0.010102233610553,"gross_import_ratio","upper",0.01
"PSCO",88,8661,1,0.0390492514650079,0.0335659369600048,0.00548331450500304,"gross_import_ratio","upper",0.01
"SCL",88,8506,1,0.623028062057679,0.562847498207027,0.0601805638506518,"gross_import_ratio","upper",0.01
"TPWR",88,8607,1,0.749668109582172,0.682126573284092,0.0675415362980801,"gross_import_ratio","upper",0.01
"TVA",79,7908,1,0.143027776830359,0.108576211993471,0.0344515648368877,"gross_import_ratio","upper",0.01
"AECI",84,8496,1,0.082715980640883,-0.000892333799006426,0.0836083144398894,"raw_net_import_ratio","upper",0.01
"GCPD",88,8659,1,0.0728271271657192,-0.0181155824985227,0.0909427096642419,"raw_net_import_ratio","upper",0.01
"PNM",88,8671,1,0.0225649123957935,-0.0438085314079156,0.0663734438037092,"raw_net_import_ratio","upper",0.01
"PSCO",88,8661,1,0.00461362057035627,-0.00399223625175584,0.00860585682211211,"raw_net_import_ratio","upper",0.01
"SCL",88,8506,1,0.623028062057679,0.561439919541895,0.0615881425157843,"raw_net_import_ratio","upper",0.01
"TPWR",88,8607,1,0.649680763799186,0.596725488840203,0.052955274958983,"raw_net_import_ratio","upper",0.01
"TVA",79,7908,1,0.114306865877884,0.0632680399629927,0.0510388259148912,"raw_net_import_ratio","upper",0.01
"AECI",84,8496,1,0.082715980640883,0.00530677755235333,0.0774092030885297,"net_import_dependence","upper",0.01
"GCPD",88,8659,1,0.0938478446576917,0.032565504401126,0.0612823402565657,"net_import_dependence","upper",0.01
"PNM",88,8671,1,0.0240223517587143,0.00304954868465339,0.0209728030740609,"net_import_dependence","upper",0.01
"PSCO",88,8661,1,0.017210785941771,0.00814860511684931,0.00906218082492167,"net_import_dependence","upper",0.01
"SCL",88,8506,1,0.623028062057679,0.561439919541895,0.0615881425157843,"net_import_dependence","upper",0.01
"TPWR",88,8607,1,0.649680763799186,0.596725488840203,0.052955274958983,"net_import_dependence","upper",0.01
"TVA",79,7908,1,0.114306865877884,0.0632680399629927,0.0510388259148912,"net_import_dependence","upper",0.01
"AECI",84,8496,1,0,0.00619911135135975,-0.00619911135135975,"net_export_intensity","upper",0.01
"GCPD",88,8659,1,0.0210207174919725,0.0506810868996487,-0.0296603694076762,"net_export_intensity","upper",0.01
"PNM",88,8671,1,0.00145743936292075,0.046858080092569,-0.0454006407296483,"net_export_intensity","upper",0.01
"PSCO",88,8661,1,0.0125971653714147,0.0121408413686052,0.000456324002809561,"net_export_intensity","upper",0.01
"SCL",88,8506,1,0,0,0,"net_export_intensity","upper",0.01
"TPWR",88,8607,1,0,0,0,"net_export_intensity","upper",0.01
"TVA",79,7908,1,0,0,0,"net_export_intensity","upper",0.01
"NW",78,7193,1,0.023775776291709,0.0157077131937421,0.00806806309796686,"gross_import_ratio","lower",0.01
"NW",78,7193,1,0.0146530070454239,-0.00936944317465328,0.0240224502200772,"raw_net_import_ratio","lower",0.01
"NW",78,7193,1,0.0153132675467916,0,0.0153132675467916,"net_import_dependence","lower",0.01
"NW",78,7193,1,0.000660260501367691,0.00936944317465328,-0.00870918267328559,"net_export_intensity","lower",0.01
