sample_id,rows,hours,stored_directed_pairs,physical_connections,physical_pair_hours,duplicate_directed_rows,reciprocal_pair_hours,missing_values,negative_values,positive_values,zero_values
2025-07-01,7917,24,337,181,4344,0,3573,0,3898,3783,236
2025-07-15,8003,24,343,184,4362,0,3641,0,3959,3857,187
