"node","name","entity_type","layer","measure","scenario","weighted_stress_value","weighted_normal_value","weighted_difference","retained_stress_weight","stress_observations","normal_observations","resolved_flow_coverage","positive_demand_coverage","claim_status","all_primary","sign_consistent","scenario_stable"
"EPE","El Paso Electric Company","balancing_authority","ba","net_import_dependence","mid",0.289047230765192,0.31036599404083,-0.0213187632756385,1,438,8322,1,1,"PRIMARY",TRUE,TRUE,TRUE
"BANC","Balancing Authority of Northern California","balancing_authority","ba","net_import_dependence","mid",0.247125966416278,0.266899925311779,-0.0197739588955013,1,437,8318,0.999429223744292,1,"PRIMARY",TRUE,TRUE,TRUE
"SWPP","Southwest Power Pool","balancing_authority","ba","net_import_dependence","mid",-0.0154398567315867,0.00372435271003782,-0.0191642094416245,1,401,8061,0.965981735159817,1,"PRIMARY",TRUE,TRUE,TRUE
"AZPS","Arizona Public Service Company","balancing_authority","ba","net_import_dependence","mid",0.378718458568615,0.36027516154273,0.018443297025885,1,436,8201,0.986073059360731,0.999885844748858,"PRIMARY",TRUE,TRUE,TRUE
"TEPC","Tucson Electric Power","balancing_authority","ba","net_import_dependence","mid",0.204008778642074,0.220359425995209,-0.016350647353135,1,438,8318,0.999657534246575,0.999885844748858,"PRIMARY",TRUE,TRUE,TRUE
"WAUW","Western Area Power Administration - Upper Great Plains West","balancing_authority","ba","net_import_dependence","mid",0.590137560440556,0.575935377707826,0.0142021827327304,1,438,8305,0.998059360730594,1,"PRIMARY",TRUE,TRUE,TRUE
"CAL","California","regional_aggregate","region","net_import_dependence","mid",0.0276594419045974,0.0418507806139083,-0.0141913387093109,1,363,7018,0.962822854161231,1,"PRIMARY",TRUE,TRUE,TRUE
"FPC","Duke Energy Florida, Inc.","balancing_authority","ba","net_import_dependence","mid",0.154295148719427,0.16700171158979,-0.0127065628703629,1,438,8310,0.998744292237443,1,"PRIMARY",TRUE,TRUE,TRUE
"NE","New England","regional_aggregate","region","net_import_dependence","mid",-0.00500657614988864,-0.0169108972427072,0.0119043210928186,1,436,7202,0.997388352050144,1,"PRIMARY",TRUE,TRUE,TRUE
"PACW","PacifiCorp West","balancing_authority","ba","net_import_dependence","mid",0.729483360815989,0.718913299661618,0.0105700611543715,1,438,8224,0.988812785388128,1,"PRIMARY",TRUE,TRUE,TRUE
"NW","Northwest","regional_aggregate","region","net_import_dependence","mid",-0.00905700787732978,-0.0151186236578457,0.00606161578051596,0.997716894977169,386,6885,0.948473780328724,1,"PRIMARY",TRUE,TRUE,TRUE
"FLA","Florida","regional_aggregate","region","net_import_dependence","mid",0.0179689211587103,0.0226552981960561,-0.0046863770373458,1,437,7199,0.996996996996997,1,"PRIMARY",TRUE,TRUE,TRUE
"SCEG","Dominion Energy South Carolina, Inc.","balancing_authority","ba","net_import_dependence","mid",-0.00565638537841365,-0.00279333890110879,-0.00286304647730486,1,431,8262,0.995091324200913,1,"PRIMARY",TRUE,TRUE,TRUE
"FPL","Florida Power & Light Co.","balancing_authority","ba","net_import_dependence","mid",-0.0142589248899879,-0.0163949978801791,0.00213607299019128,1,436,8298,0.99703196347032,1,"PRIMARY",TRUE,TRUE,TRUE
"TEC","Tampa Electric Company","balancing_authority","ba","net_import_dependence","mid",0.175954791533518,0.177698948275733,-0.00174415674221501,1,438,8319,0.999657534246575,1,"PRIMARY",TRUE,TRUE,TRUE
"ERCO","Electric Reliability Council of Texas, Inc.","balancing_authority","ba","net_import_dependence","mid",-0.000358995014099076,-0.000214901680229609,-0.000144093333869467,1,438,8261,0.998507805325987,1,"PRIMARY",TRUE,TRUE,TRUE
"TEX","Texas","regional_aggregate","region","net_import_dependence","mid",0.000117444315444445,0.000164462517096357,-4.70182016519119e-05,1,438,7215,0.99921660791226,1,"PRIMARY",TRUE,TRUE,TRUE
