"counterparty","eligible_strata","retained_weight","weighted_stress_value","weighted_normal_value","contribution","node","counterparty_name","pct_of_net_change","pct_of_absolute_change","cumulative_pct_absolute"
"BPAT",20,1,0.547744937444241,0.457245517698517,0.0904994197457243,"SCL","Bonneville Power Administration",1.02568839955059,0.97556689516779,0.97556689516779
"PSEI",20,1,0.0383612292357411,0.0406277901664717,-0.00226656093073056,"SCL","Puget Sound Energy, Inc.",-0.0256883995505923,0.0244331048322097,1
