"counterparty","eligible_strata","retained_weight","weighted_stress_value","weighted_normal_value","contribution","node","counterparty_name","pct_of_net_change","pct_of_absolute_change","cumulative_pct_absolute"
"SWPP",20,1,0.0640150219217963,-0.0186205398574148,0.0826355617792111,"AECI","Southwest Power Pool",0.616700898257999,0.616700898257999,0.616700898257999
"MISO",20,1,-0.0959879771219399,-0.113982990011656,0.0179950128897162,"AECI","Midcontinent Independent System Operator, Inc.",0.134294973910907,0.134294973910907,0.750995872168906
"SPA",20,1,0.147106452991484,0.130201905606,0.0169045473854842,"AECI","Southwestern Power Administration",0.126156939371055,0.126156939371055,0.877152811539961
"TVA",20,1,-0.0433788243968308,-0.0570835653803878,0.013704740983557,"AECI","Tennessee Valley Authority",0.102277105558191,0.102277105558191,0.979429917098152
"SIKE",12,0.968036529680365,-0.0153196090522268,-0.0180759214902996,0.00275631243807276,"AECI","Sikeston Board of Municipal Utilities",0.0205700829018482,0.0205700829018482,1
