"node","measure","weighted_stress_value","weighted_normal_value","weighted_difference","claim_status"
"GCPD","raw_net_import_ratio",0.0240696098065253,-0.140025288012429,0.164094897818954,"PRIMARY"
"SCL","raw_net_import_ratio",0.586106166679982,0.497873307864989,0.0882328588149938,"PRIMARY"
"TPWR","raw_net_import_ratio",0.650215973653915,0.547287848655458,0.102928124998457,"PRIMARY"
"GCPD","net_import_dependence",0.098711183956931,0.0164201321508496,0.0822910518060814,"PRIMARY"
"SCL","net_import_dependence",0.586106166679982,0.497873307864989,0.0882328588149938,"PRIMARY"
"TPWR","net_import_dependence",0.650215973653915,0.547287848655458,0.102928124998457,"PRIMARY"
"NW","raw_net_import_ratio",-0.00905700787732978,-0.0151186236578457,0.00606161578051596,"PRIMARY"
"NW","net_import_dependence",0.000935711389994125,0.000412050478150451,0.000523660911843674,"PRIMARY"
